a0,a1,a2,a3,st_range,end_range
-2.525268,0.2911853,-0.02428676,-0.0006210717,-13.03487,-33.89515
72.37985,6.920907,0.1713083,0.001302459,-33.89515,-56.84145
-11475.15,-602.5392,-10.5508,-0.06157483,-56.84145,-64.66405
227073.6,10464.6,160.5975,0.8206685,-64.66405,-65.70706
-14962.83,-586.1004,-7.583861,-0.03251902,-65.70706,-80.30926
5098.97,163.32,1.747821,0.006213254,-80.30926,-104.0378
-7403.462,-197.1959,-1.717419,-0.004889245,-104.0378,-117.0755
432.3298,3.592256,-0.002386878,-6.265555e-006,-117.0755,-126.9841
