a0,a1,a2,a3,st_range,end_range
-0.32617,-0.4049078,0.00739632,-8.563889e-005,28.78879,53.25583
-174.9165,9.43009,-0.1772783,0.001070257,53.25583,77.06159
3975.045,-152.1275,1.919195,-0.007998131,77.06159,92.27083
-36350.38,1158.972,-12.29006,0.04333357,92.27083,104.835
629202.6,-17886.76,169.3834,-0.5343153,104.835,110.1252
1120863,-31280.43,291.0057,-0.9024489,110.1252,107.4801
-1063.423,34.94031,-0.3541508,0.001159959,107.4801,90.94829
419.772,-13.98403,0.1837851,-0.0008116228,90.94829,71.11015
159.8903,-3.020127,0.02960302,-8.888467e-005,71.11015,43.99803
1.61244,7.772027,-0.2156842,0.001769435,43.99803,18.86972
68.67964,-2.890644,0.3493836,-0.00821248,18.86972,-5.597318
49.64229,-13.09411,-1.473538,-0.1167717,-5.597318,-7.581131
87.80095,2.006006,0.5182652,-0.0291945,-7.581131,8.95065
63.95251,9.999317,-0.3747773,0.004063515,8.95065,38.04659
405.2656,-16.91346,0.3325865,-0.002133832,38.04659,55.90091
-70.18821,8.602429,-0.1238621,0.0005879393,55.90091,74.4165
258.9995,-4.668325,0.05446871,-0.0002108566,74.4165,92.9321
6.592226,3.479795,-0.03320949,0.0001036319,92.9321,106.8188
